"dic","waic","log_cpo","mse","model"
-9093.86821553331,-9767.78319596684,1623.11321405967,0.000503228599984609,"m1_ss_selection"
-7336.73838014603,-7661.34880808042,1610.19184847503,0.00130793200145259,"m1_pca_selection"
-6795.15462381358,-7335.06362024375,1312.12493787727,0.00130488113732016,"m1_pca_80_selection"
-7044.51014348852,-7031.05332649407,1294.50522656576,0.00140473543763365,"m2_ss_selection"
-5428.06158496639,-6033.1156938883,750.11489660493,0.00164492409060634,"m2_pca_selection"
-3198.7659434698,-3317.45822231799,689.178651533168,0.0063796244944713,"m2_pca_80_selection"
-2083.61228674448,-2048.07729085348,634.740430206726,0.0128961102699051,"m3_ss_selection"
-1306.78656523173,-1276.63538556347,634.143373370973,0.0433600045005902,"m3_pca_selection"
-5499.1579353982,-6465.00263505047,104.708547207304,0.000886203260832809,"m3_pca_80_selection"
-204.436061499213,-191.922434554868,95.8324405564664,0.055630161453857,"m4_ss_selection"
1401.97725393721,1404.95105498411,-702.633866307687,0.0784845175629847,"m4_pca_selection"
1402.81306874247,1405.31801667767,-702.6597051018,0.0788776311456236,"m4_pca_80_selection"
